,name,symbol,currency
761,BERNcash,BERN,USD
762,Spots,SPT,USD
763,Niobio Cash,NBR,USD
764,iTicoin,ITI,USD
765,WARP,WARP,USD
766,Universal Currency,UNIT,USD
767,LiteBar,LTB,USD
768,ATBCoin,ATB,USD
769,PureVidz,VIDZ,USD
770,GlobalToken,GLT,USD
771,Syndicate,SYNX,USD
772,SmartCoin,SMC,USD
773,ELTCOIN,ELTCOIN,USD
774,Paragon,PRG,USD
775,Miners' Reward Token,MRT,USD
776,GoldBlocks,GB,USD
777,Suretly,SUR,USD
778,Onix,ONX,USD
779,ICOBID,ICOB,USD
780,Global Currency Reserve,GCR,USD
781,Ethereum Cash,ECASH,USD
782,Digital Money Bits,DMB,USD
783,Blakecoin,BLC,USD
784,Acoin,ACOIN,USD
785,GlobalCoin,GLCn,USD
786,Theresa May Coin,MAY,USD
787,TrumpCoin,TRUMP,USD
788,Bitradio,BRO,USD
789,Shilling,SH,USD
790,PostCoin,POST,USD
791,Metal Music Coin,MTLMC3,USD
792,TEKcoin,TEK,USD
793,Cream,CRM,USD
794,VIP Tokens,VIP,USD
795,Zurcoin,ZUR,USD
796,Uro,URO,USD
797,Atonomi,ATMI,USD
798,FuzzBalls,FUZZ,USD
799,Regalcoin,REC,USD
800,Wild Crypto,WILD,USD
801,Debitcoin,DBTC,USD
802,MindCoin,MND,USD
803,Dreamcoin,DRM,USD
804,Centurion,CNT,USD
805,Moin,MOIN,USD
806,CryCash,CRC,USD
807,Unrealcoin,URC,USD
808,XGOX,XGOX,USD
809,Signatum,SIGT,USD
810,iBTC,IBTC,USD
811,EDRCoin,EDRC,USD
812,Beatcoin,XBTS,USD
813,GeyserCoin,GSR,USD
814,Sativacoin,STV,USD
815,TOKYO,TOKC,USD
816,Influxcoin,INFX,USD
817,Ride My Car,RIDE,USD
818,Orlycoin,ORLY,USD
819,PayCoin,XPY,USD
820,Save and Gain,SANDG,USD
821,Jewels,JWL,USD
822,Braincoin,BRAIN,USD
823,LetItRide,LIR,USD
824,ParkByte,PKB,USD
825,GoldPieces,GP,USD
826,MustangCoin,MST,USD
827,AmsterdamCoin,AMS,USD
828,PayCon,CON,USD
829,PRiVCY,PRIV,USD
830,X-Coin,XCO,USD
831,BitRent,RNTB,USD
832,Matchpool,GUP,USD
833,RonPaulCoin,RPC,USD
834,MarteXcoin,MXT,USD
835,Elementrem,ELE,USD
836,PIECoin,PIE,USD
837,DNotes,NOTE,USD
838,ARBITRAGE,ARB,USD
839,SpreadCoin,SPR,USD
840,Zonecoin,ZNE,USD
841,BowsCoin,BSC,USD
842,Californium,CF,USD
843,ARbit,ARB,USD
844,Thore Cash,TCH,USD
845,OsmiumCoin,OS76,USD
846,JobsCoin,JOBS,USD
847,Bitcoin 21,XBTC21,USD
848,Desire,DSR,USD
849,Visio,VISIO,USD
850,SydPak,SDP,USD
851,Xonecoin,XOC,USD
852,Zayedcoin,ZYD,USD
853,ImpulseCoin,IMPS,USD
854,BROTHER,BRAT,USD
855,CrevaCoin,CREVA,USD
856,Rupaya,RUPX,USD
857,Quebecoin,QBC,USD
858,HOdlcoin,HODL,USD
859,SongCoin,SONG,USD
860,Titcoin,TIT,USD
861,Destiny,DES,USD
862,Taler Coin,TLR,USD
863,Litecred,LTCR,USD
864,EquiTrader,EQT,USD
865,Dollarcoin,DLC,USD
866,BitCoal,COAL,USD
867,SpeedCash,SCS,USD
868,Eurocoin,EUC,USD
869,Open Trading Network,OTN,USD
870,Cannation,CNNC,USD
871,Prime-XI,PXI,USD
872,MiloCoin,MILO,USD
873,LiteBitcoin,LBTC,USD
874,Cabbage,CAB,USD
875,TajCoin,TAJ,USD
876,RSGPcoin,RSGP,USD
877,Veltor,VLT,USD
878,NevaCoin,NEVA,USD
879,Luna Coin,LUNA,USD
880,VectorAI,VEC2,USD
881,JavaScript Token,JS,USD
882,High Voltage,HVCO,USD
883,Bulleon,BUL,USD
884,LiteCoin Ultra,LTCU,USD
885,Project-X,NANOX,USD
886,PLNcoin,PLNC,USD
887,Bitvolt,VOLT,USD
888,Independent Money System,IMS,USD
889,PlatinumBAR,XPTX,USD
890,BenjiRolls,BENJI,USD
891,Paypex,PAYX,USD
892,Dalecoin,DALC,USD
893,BriaCoin,BRIA,USD
894,WomenCoin,WOMEN,USD
